api-1  | [32m2026-03-25 09:34:21[0m | [1mINFO    [0m | [36mapp.services.reporting_service[0m:[36mgenerate_daily_report[0m:[36m82[0m | [1mDaily fleet report generated: app/storage/reports/report_20260325_093420.json[0m
api-1  | INFO:     127.0.0.1:40880 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.6:34226 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.6:34230 - "GET /metrics HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.6:34232 - "GET /v1/analytics/metrics HTTP/1.1" 401 Unauthorized
api-1  | INFO:     172.20.0.1:52474 - "OPTIONS /v1/analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52488 - "OPTIONS /v1/analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52474 - "GET /v1/analytics/summary HTTP/1.1" 401 Unauthorized
api-1  | INFO:     172.20.0.1:52490 - "GET /v1/analytics/summary HTTP/1.1" 401 Unauthorized
api-1  | INFO:     172.20.0.1:52474 - "OPTIONS /v1/analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52488 - "OPTIONS /v1/analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52490 - "OPTIONS /v1/tasks HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52488 - "GET /v1/tasks HTTP/1.1" 307 Temporary Redirect
api-1  | INFO:     172.20.0.1:52474 - "GET /v1/analytics/summary HTTP/1.1" 401 Unauthorized
api-1  | INFO:     172.20.0.1:52490 - "OPTIONS /v1/tasks/ HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52496 - "GET /v1/analytics/summary HTTP/1.1" 401 Unauthorized
api-1  | INFO:     172.20.0.1:52488 - "GET /v1/tasks/ HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52488 - "OPTIONS /v1/analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52490 - "OPTIONS /v1/tasks HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52474 - "OPTIONS /v1/analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52488 - "GET /v1/tasks HTTP/1.1" 307 Temporary Redirect
api-1  | INFO:     172.20.0.1:52496 - "GET /v1/analytics/summary HTTP/1.1" 401 Unauthorized
api-1  | INFO:     172.20.0.1:52490 - "GET /v1/analytics/summary HTTP/1.1" 401 Unauthorized
api-1  | INFO:     172.20.0.1:52474 - "OPTIONS /v1/tasks/ HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52496 - "GET /v1/tasks/ HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52496 - "OPTIONS /v1/agents HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52474 - "GET /v1/agents HTTP/1.1" 307 Temporary Redirect
api-1  | INFO:     172.20.0.1:52496 - "OPTIONS /v1/agents/ HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52474 - "GET /v1/agents/ HTTP/1.1" 401 Unauthorized
api-1  | INFO:     172.20.0.1:52474 - "OPTIONS /v1/goals HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52496 - "GET /v1/goals HTTP/1.1" 307 Temporary Redirect
api-1  | INFO:     172.20.0.1:52474 - "OPTIONS /v1/goals/ HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52496 - "GET /v1/goals/ HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52496 - "OPTIONS /v1/workflows HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52474 - "OPTIONS /v1/workflows/Market%20Research%20Pipeline HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52496 - "GET /v1/workflows HTTP/1.1" 307 Temporary Redirect
api-1  | INFO:     172.20.0.1:43266 - "OPTIONS /v1/workflows/ HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52474 - "GET /v1/workflows/Market%20Research%20Pipeline HTTP/1.1" 404 Not Found
api-1  | INFO:     172.20.0.1:52496 - "GET /v1/workflows/ HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52496 - "OPTIONS /v1/workflows HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:52474 - "OPTIONS /v1/workflows/Market%20Research%20Pipeline HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:43266 - "GET /v1/workflows HTTP/1.1" 307 Temporary Redirect
