api-1  | INFO:     127.0.0.1:46638 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55430 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38918 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34104 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42488 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54686 - "GET / HTTP/1.1" 429 Too Many Requests
api-1  | INFO:     127.0.0.1:47252 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60814 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39732 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43312 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:32998 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34960 - "GET / HTTP/1.1" 429 Too Many Requests
api-1  | INFO:     127.0.0.1:44124 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40724 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38112 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36444 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49620 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     172.20.0.1:55550 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53592 - "GET / HTTP/1.1" 429 Too Many Requests
api-1  | INFO:     127.0.0.1:54978 - "GET / HTTP/1.1" 200 OK
