19, 7, 12, 24, 187420))]
api-1  | (Background on this error at: https://sqlalche.me/e/20/gkpj)
api-1  | INFO:     127.0.0.1:48198 - "GET / HTTP/1.1" 429 Too Many Requests
api-1  | INFO:     127.0.0.1:47028 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34676 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46372 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46946 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37696 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54264 - "GET / HTTP/1.1" 429 Too Many Requests
api-1  | INFO:     127.0.0.1:48710 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51072 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43002 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44276 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40592 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53736 - "GET / HTTP/1.1" 429 Too Many Requests
api-1  | INFO:     127.0.0.1:58202 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46482 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39670 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53702 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45108 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39972 - "GET / HTTP/1.1" 429 Too Many Requests
api-1  | INFO:     127.0.0.1:51016 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51836 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59792 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51134 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39176 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36668 - "GET / HTTP/1.1" 429 Too Many Requests
api-1  | INFO:     127.0.0.1:51816 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60696 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57774 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50580 - "GET / HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35860 - "GET / HTTP/1.1" 200 OK
