worker-1  | Starting AgentCloud Initialization...
worker-1  | Checking for JWT RSA keys...
worker-1  | RSA keys already exist. Skipping generation.
worker-1  | Initialization complete. Executing: python -m app.workers.agent_worker
worker-1  | 2026-03-19 08:15:52.257 | INFO     | __main__:run_worker:54 - AgentCloud Worker started ΓÇö priority queue + circuit breaker + event bus active
worker-1  | 2026-03-19 08:15:52.259 | INFO     | __main__:run_worker:62 - Event bus consumer started
worker-1  | 2026-03-19 08:15:52.267 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:15:52.268 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:15:52.281 | INFO     | app.services.event_bus:start_consuming:143 - Event bus consumer 'worker_5c4e81b3' started
worker-1  | 2026-03-19 08:16:52.263 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:16:52.263 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:17:52.257 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:17:52.257 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:18:52.252 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:18:52.253 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:19:52.244 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:19:52.244 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:20:52.240 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:20:52.240 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:21:52.236 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:21:52.236 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:22:52.232 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:22:52.232 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:23:52.226 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:23:52.226 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:24:52.224 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:24:52.224 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:25:52.220 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:25:52.220 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:26:52.214 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:26:52.215 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:27:52.211 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:27:52.212 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:28:52.207 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:28:52.207 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:29:52.202 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:29:52.203 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:30:52.199 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:30:52.199 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:31:52.194 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:31:52.194 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:32:52.190 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:32:52.191 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:33:52.187 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:33:52.187 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
worker-1  | 2026-03-19 08:34:52.182 | INFO     | app.services.orchestrator:run_reputation_decay_scheduler:110 - Running reputation decay cycle...
worker-1  | 2026-03-19 08:34:52.183 | ERROR    | app.services.orchestrator:run_reputation_decay_scheduler:116 - Reputation decay error: cannot import name 'decay_all_reputations' from 'app.services.reputation' (/app/app/services/reputation.py)
